,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
0,Feature,199901AB00008,"5:15pm, 7th January 1999",serious,Cyclist,1,1,51.496219,-0.134989,"[-0.134989, 51.496208]"
1,Feature,199901AB00018,"9:20am, 11th January 1999",slight,Cyclist,1,2,51.489624,-0.12748,"[-0.127474, 51.489641]"
2,Feature,199901AB00019,"3:00pm, 12th January 1999",slight,Cyclist,1,2,51.489951,-0.148065,"[-0.14809, 51.489926]"
3,Feature,199901AB00021,"11:00am, 9th January 1999",slight,Cyclist,1,2,51.490698,-0.149764,"[-0.14978, 51.49069]"
4,Feature,199901AB00023,"8:12pm, 19th January 1999",slight,Cyclist,1,2,51.494715,-0.125254,"[-0.125271, 51.494692]"
5,Feature,199901AB00048,"11:25pm, 11th February 1999",slight,Cyclist,1,2,51.50161,-0.174681,"[-0.174677, 51.501603]"
6,Feature,199901AB00061,"12:50am, 20th February 1999",slight,Cyclist,1,2,51.492675,-0.138303,"[-0.138304, 51.492678]"
7,Feature,199901AB00062,"7:10am, 10th February 1999",serious,Cyclist,1,2,51.49696,-0.142018,"[-0.142021, 51.49696]"
8,Feature,199901AB00066,"8:45am, 16th February 1999",slight,Cyclist,1,2,51.494731,-0.126262,"[-0.126276, 51.494718]"
9,Feature,199901AB00072,"2:21pm, 24th February 1999",slight,Cyclist,1,2,51.493005,-0.12518,"[-0.125161, 51.493006]"
10,Feature,199901AB00080,"8:45am, 5th March 1999",slight,Cyclist,1,2,51.497157,-0.1374,"[-0.137418, 51.497153]"
11,Feature,199901AB00092,"7:30pm, 22nd March 1999",slight,Cyclist,1,2,51.498118,-0.147014,"[-0.147035, 51.49813]"
12,Feature,199901AB00099,"10:35am, 22nd March 1999",slight,Cyclist,1,2,51.497039,-0.135676,"[-0.135685, 51.497041]"
13,Feature,199901AB00112,"6:05pm, 13th April 1999",slight,Cyclist,1,2,51.502229,-0.156789,"[-0.156815, 51.502223]"
14,Feature,199901AB00139,"4:40am, 17th April 1999",slight,Cyclist,1,2,51.488578,-0.129539,"[-0.129536, 51.488573]"
15,Feature,199901AB00141,"2:10pm, 23rd April 1999",slight,Cyclist,1,2,51.492851,-0.14377,"[-0.143796, 51.492871]"
16,Feature,199901AB00142,"6:00am, 26th April 1999",slight,Cyclist,1,2,51.489405,-0.130658,"[-0.130683, 51.48938]"
17,Feature,199901AB00151,"2:45pm, 28th April 1999",slight,Cyclist,1,2,51.50081,-0.129615,"[-0.129614, 51.500833]"
18,Feature,199901AB00178,"5:40pm, 18th May 1999",slight,Cyclist,1,2,51.488665,-0.135009,"[-0.135012, 51.488669]"
19,Feature,199901AB00179,"7:20am, 17th May 1999",slight,Cyclist,1,2,51.501661,-0.160703,"[-0.160707, 51.501653]"
20,Feature,199901AB00181,"8:20am, 21st May 1999",slight,Cyclist,1,2,51.498603,-0.143536,"[-0.143558, 51.49859]"
21,Feature,199901AB00213,"9:30pm, 27th May 1999",slight,Cyclist,1,2,51.498687,-0.126244,"[-0.126253, 51.498697]"
22,Feature,199901AB00225,"7:20pm, 21st June 1999",slight,Cyclist,1,3,51.501686,-0.173813,"[-0.173804, 51.501684]"
23,Feature,199901AB00231,"5:05pm, 22nd June 1999",slight,Cyclist,1,2,51.496777,-0.1305,"[-0.130517, 51.496752]"
24,Feature,199901AB00267,"8:15am, 13th July 1999",serious,Cyclist,1,2,51.485757,-0.150108,"[-0.150082, 51.485741]"
25,Feature,199901AB00269,"4:45pm, 17th July 1999",slight,Cyclist,1,2,51.49369,-0.145609,"[-0.145595, 51.493686]"
26,Feature,199901AB00278,"12:56pm, 23rd July 1999",slight,Cyclist,1,2,51.48923,-0.130953,"[-0.13094, 51.48923]"
27,Feature,199901AB00279,"10:45am, 28th July 1999",slight,Cyclist,1,2,51.494747,-0.12727,"[-0.127265, 51.494753]"
28,Feature,199901AB00280,"8:00pm, 28th July 1999",slight,Cyclist,1,2,51.498229,-0.131305,"[-0.131296, 51.49824]"
29,Feature,199901AB00296,"8:20am, 9th August 1999",slight,Cyclist,1,2,51.488578,-0.129539,"[-0.12953, 51.488601]"
30,Feature,199901AB00321,"8:05am, 26th August 1999",slight,Cyclist,1,2,51.49462,-0.12497,"[-0.124988, 51.494642]"
31,Feature,199901AB00339,"6:45pm, 6th September 1999",serious,Cyclist,1,2,51.501648,-0.165602,"[-0.165586, 51.501662]"
32,Feature,199901AB00354,"9:33am, 23rd September 1999",slight,Cyclist,1,2,51.485195,-0.137311,"[-0.137332, 51.485184]"
33,Feature,199901AB00359,"9:20am, 29th September 1999",slight,Cyclist,1,2,51.488665,-0.135009,"[-0.134994, 51.488649]"
34,Feature,199901AB00362,"7:10pm, 1st October 1999",slight,Cyclist,1,2,51.500092,-0.141027,"[-0.141008, 51.500104]"
35,Feature,199901AB00366,"6:30pm, 28th September 1999",slight,Cyclist,1,1,51.497981,-0.143994,"[-0.143996, 51.497996]"
36,Feature,199901BH00038,"4:40pm, 2nd February 1999",slight,Cyclist,1,2,51.506901,-0.191185,"[-0.191212, 51.506917]"
37,Feature,199901BH00126,"1:00pm, 7th April 1999",slight,Cyclist,1,2,51.508853,-0.195287,"[-0.195306, 51.508841]"
38,Feature,199901BH00166,"8:25am, 10th May 1999",slight,Cyclist,1,2,51.502114,-0.18979,"[-0.189768, 51.502122]"
39,Feature,199901BH00213,"11:40am, 4th August 1999",slight,Cyclist,1,2,51.504874,-0.193859,"[-0.193834, 51.504863]"
40,Feature,199901BH00229,"5:45pm, 4th July 1999",slight,Cyclist,1,2,51.502636,-0.194524,"[-0.194505, 51.50265]"
41,Feature,199901BS00013,"3:40pm, 7th January 1999",slight,Cyclist,1,2,51.481406,-0.182401,"[-0.1824, 51.481409]"
42,Feature,199901BS00026,"7:10pm, 14th January 1999",slight,Cyclist,1,2,51.480964,-0.17709,"[-0.177077, 51.480989]"
43,Feature,199901BS00046,"1:15pm, 19th January 1999",slight,Cyclist,1,2,51.483813,-0.175248,"[-0.175271, 51.483834]"
44,Feature,199901BS00048,"3:30pm, 27th January 1999",slight,Cyclist,1,2,51.499097,-0.180833,"[-0.180806, 51.499072]"
45,Feature,199901BS00050,"8:40pm, 28th January 1999",slight,Cyclist,1,1,51.501358,-0.181607,"[-0.181621, 51.501377]"
46,Feature,199901BS00063,"3:52pm, 5th February 1999",slight,Cyclist,1,2,51.483253,-0.185496,"[-0.185499, 51.483238]"
47,Feature,199901BS00068,"8:30pm, 2nd February 1999",slight,Cyclist,1,1,51.490535,-0.173827,"[-0.173844, 51.490559]"
48,Feature,199901BS00078,"4:30am, 11th February 1999",slight,Cyclist,1,2,51.501398,-0.184199,"[-0.184175, 51.501393]"
49,Feature,199901BS00089,"8:50am, 18th February 1999",serious,Cyclist,1,2,51.491173,-0.18014,"[-0.180132, 51.491197]"
50,Feature,199901BS00095,"4:45pm, 18th February 1999",slight,Cyclist,1,2,51.494069,-0.158271,"[-0.158288, 51.494061]"
51,Feature,199901BS00098,"8:40am, 23rd February 1999",slight,Cyclist,1,2,51.497242,-0.194593,"[-0.194617, 51.497227]"
52,Feature,199901BS00102,"4:30pm, 8th February 1999",slight,Cyclist,1,2,51.50096,-0.161883,"[-0.161895, 51.500972]"
53,Feature,199901BS00121,"6:10pm, 2nd March 1999",slight,Cyclist,1,2,51.494905,-0.183016,"[-0.183042, 51.494897]"
54,Feature,199901BS00125,"7:00pm, 9th March 1999",slight,Cyclist,1,2,51.498293,-0.158101,"[-0.158111, 51.498317]"
55,Feature,199901BS00157,"5:02pm, 22nd March 1999",slight,Cyclist,1,2,51.48217,-0.17949,"[-0.179475, 51.482172]"
56,Feature,199901BS00204,"3:45pm, 16th April 1999",slight,Cyclist,1,2,51.494087,-0.182473,"[-0.182498, 51.494109]"
57,Feature,199901BS00212,"11:17pm, 9th April 1999",serious,Cyclist,1,2,51.496489,-0.169267,"[-0.169263, 51.496495]"
58,Feature,199901BS00219,"7:41pm, 19th April 1999",slight,Cyclist,1,2,51.493074,-0.157879,"[-0.157863, 51.49309]"
59,Feature,199901BS00235,"7:46am, 19th April 1999",slight,Cyclist,1,2,51.501773,-0.185193,"[-0.185215, 51.501764]"
60,Feature,199901BS00243,"8:00pm, 29th April 1999",slight,Cyclist,1,2,51.500821,-0.193443,"[-0.193465, 51.500838]"
61,Feature,199901BS00252,"1:00pm, 9th May 1999",slight,Cyclist,1,2,51.491105,-0.187345,"[-0.187336, 51.49108]"
62,Feature,199901BS00255,"8:03pm, 10th May 1999",slight,Cyclist,1,2,51.480148,-0.182451,"[-0.182469, 51.480128]"
63,Feature,199901BS00261,"1:00am, 14th May 1999",slight,Cyclist,1,2,51.491173,-0.18014,"[-0.180137, 51.49116]"
64,Feature,199901BS00268,"8:00am, 29th April 1999",slight,Cyclist,1,2,51.488921,-0.156894,"[-0.156904, 51.488939]"
65,Feature,199901BS00269,"9:45am, 12th May 1999",slight,Cyclist,1,2,51.49018,-0.156843,"[-0.156856, 51.490204]"
66,Feature,199901BS00270,"6:20pm, 13th May 1999",slight,Cyclist,1,2,51.488491,-0.192778,"[-0.192762, 51.488479]"
67,Feature,199901BS00273,"1:04pm, 20th May 1999",slight,Cyclist,1,2,51.490998,-0.163149,"[-0.163122, 51.491006]"
68,Feature,199901BS00277,"6:47am, 21st May 1999",serious,Cyclist,1,2,51.487745,-0.167889,"[-0.16788, 51.487757]"
69,Feature,199901BS00286,"10:15am, 26th May 1999",slight,Cyclist,1,1,51.481662,-0.181527,"[-0.181521, 51.481654]"
70,Feature,199901BS00288,"9:20am, 28th May 1999",slight,Cyclist,1,2,51.494844,-0.184892,"[-0.184901, 51.494838]"
71,Feature,199901BS00308,"5:00am, 9th June 1999",slight,Cyclist,1,2,51.491701,-0.162112,"[-0.16209, 51.491705]"
72,Feature,199901BS00309,"6:57pm, 7th June 1999",slight,Cyclist,1,2,51.501337,-0.180311,"[-0.180314, 51.501361]"
