,ID,Accident Severity,Date,Year,Day,Time,Longitude,Latitude,Number of Vehicles,Number of Casualties,Speed Limit,Junction Detail,Junction Control,Road Type,Light Conditions,Weather Conditions,Road Surface Conditions,Sex of Casualty,Age of Casualty,Age Band of Casualty,Vehicle Reference,Sex of Driver,Age of Driver,Age Band of Driver,Vehicle Type,Engine Capacity (cc),Junction Location,Age of Vehicle
0,199901DP00421,Fatal,1999-10-01,1999,Friday,09:23:00,-0.19403,51.515128000000004,2,1,30,Crossroads,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,30,26 - 35,1,Male,30,26 - 35,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
1,199901GD00088,Fatal,1999-03-01,1999,Monday,14:10:00,-0.08801,51.527477000000005,2,1,30,Crossroads,Give way or uncontrolled,One way street/Slip road,Daylight,Fine no high winds,Dry,Female,47,46 - 55,2,Female,48,46 - 55,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,-1
2,199901HT00577,Fatal,1999-06-08,1999,Tuesday,09:55:00,-0.073505,51.509074,2,1,30,Crossroads,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,27,26 - 35,1,Male,27,26 - 35,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
3,199901MD00505,Fatal,1999-09-29,1999,Wednesday,17:27:00,-0.068475,51.48489,2,1,30,T or staggered junction,Give way or uncontrolled,Dual carriageway,Daylight,Fine no high winds,Dry,Male,59,56 - 65,1,Male,59,56 - 65,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
4,199901NI00031,Fatal,1999-01-28,1999,Thursday,12:30:00,-0.107119,51.522121000000006,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,38,36 - 45,2,Male,41,36 - 45,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,-1
5,200001CP00223,Fatal,2000-06-07,2000,Wednesday,08:55:00,-0.08758300000000001,51.517038,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Female,26,26 - 35,1,Female,26,26 - 35,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
6,200001DM02390,Fatal,2000-11-23,2000,Thursday,05:55:00,-0.146044,51.522023,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Male,40,36 - 45,2,Male,60,56 - 65,Goods 7.5 tonnes mgw and over,5480,Data missing or out of range,7
7,200001MM00743,Fatal,2000-06-20,2000,Tuesday,08:10:00,-0.08329500000000001,51.495565,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,11,11 - 15,1,Male,11,11 - 15,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
8,200001MM01398,Fatal,2000-10-23,2000,Monday,18:20:00,-0.095652,51.499813,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Female,33,26 - 35,1,Female,33,26 - 35,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
9,200101BS00393,Fatal,2001-05-22,2001,Tuesday,13:05:00,-0.18607100000000001,51.490546,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,53,46 - 55,2,Male,33,26 - 35,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,11
10,200101DM01894,Fatal,2001-09-27,2001,Thursday,10:50:00,-0.179928,51.510954,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,74,66 - 75,2,Male,44,36 - 45,Bus or coach (17 or more pass seats),1045,Data missing or out of range,20
11,200101LX00737,Fatal,2001-05-16,2001,Wednesday,16:20:00,-0.117665,51.48659,2,2,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Raining no high winds,Wet or damp,Female,27,26 - 35,2,Male,51,46 - 55,Goods 7.5 tonnes mgw and over,9973,Data missing or out of range,5
12,200101NI01177,Fatal,2001-10-15,2001,Monday,12:12:00,-0.106975,51.522119,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,Data missing or out of range,Data missing or out of range,1,Female,Data missing or out of range,Data missing or out of range,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
13,200201BS00491,Fatal,2002-08-27,2002,Tuesday,14:30:00,-0.18564,51.483255,2,1,30,Crossroads,Auto traffic signal,Dual carriageway,Daylight,Fine no high winds,Dry,Female,41,36 - 45,2,Male,27,26 - 35,Goods 7.5 tonnes mgw and over,11413,Data missing or out of range,16
14,200201CP00175,Fatal,2002-06-11,2002,Tuesday,17:47:00,-0.07893700000000001,51.520404,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,25,21 - 25,1,Male,25,21 - 25,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
15,200201CP00397,Fatal,2002-12-06,2002,Friday,18:00:00,-0.089033,51.513375,2,1,30,More than 4 arms (not roundabout),Auto traffic signal,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or damp,Male,58,56 - 65,2,Male,34,26 - 35,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,-1
16,200201DM00030,Fatal,2002-01-10,2002,Thursday,10:18:00,-0.135687,51.49677,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,Data missing or out of range,Data missing or out of range,2,Male,56,56 - 65,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,6
17,200201DM00370,Fatal,2002-03-09,2002,Saturday,07:50:00,-0.151395,51.496659,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Male,28,26 - 35,1,Male,28,26 - 35,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
18,200201DM01817,Fatal,2002-10-21,2002,Monday,12:30:00,-0.167621,51.512381,2,1,30,T or staggered junction,Give way or uncontrolled,Dual carriageway,Daylight,Fine no high winds,Dry,Male,28,26 - 35,2,Male,33,26 - 35,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,-1
19,200201EO00181,Fatal,2002-05-17,2002,Friday,08:55:00,-0.116602,51.536842,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,30,26 - 35,2,Male,52,46 - 55,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,5
20,200201EO01527,Fatal,2002-12-09,2002,Monday,14:50:00,-0.086962,51.521524,2,1,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Female,36,36 - 45,2,Male,34,26 - 35,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,14
21,200301CP00016,Fatal,2003-02-06,2003,Thursday,06:00:00,-0.10443800000000002,51.510296999999994,2,1,30,Not at junction or within 20 metres,Data missing or out of range,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Male,Data missing or out of range,Data missing or out of range,1,Male,Data missing or out of range,Data missing or out of range,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
22,200301EO00128,Fatal,2003-02-18,2003,Tuesday,16:45:00,-0.091821,51.539769,2,1,30,Not at junction or within 20 metres,Data missing or out of range,Single carriageway,Daylight,Fine no high winds,Dry,Female,9,6 - 10,2,Male,52,46 - 55,Car (including private hire cars) (1979-2004),Data missing or out of range,Data missing or out of range,-1
23,200301EO01108,Fatal,2003-07-12,2003,Saturday,02:20:00,-0.098784,51.538803,2,2,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,Female,23,21 - 25,1,Female,23,21 - 25,Car (including private hire cars) (1979-2004),1149,Data missing or out of range,-1
24,200301LX00140,Fatal,2003-02-23,2003,Sunday,14:10:00,-0.108175,51.489674,3,2,30,T or staggered junction,Give way or uncontrolled,Single carriageway,Daylight,Fine no high winds,Dry,Male,45,36 - 45,3,Male,37,36 - 45,Van / Goods 3.5 tonnes mgw or under,1461,Data missing or out of range,-1
25,200301LX00143,Fatal,2003-01-27,2003,Monday,08:05:00,-0.125394,51.484285,2,1,30,Crossroads,Auto traffic signal,One way street/Slip road,Daylight,Fine no high winds,Snow,Female,50,46 - 55,1,Female,50,46 - 55,Pedal cycle,Data missing or out of range,Data missing or out of range,-1
26,200301LX00865,Fatal,2003-05-20,2003,Tuesday,09:40:00,-0.10967,51.502288,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,48,46 - 55,2,Male,23,21 - 25,Goods 7.5 tonnes mgw and over,10000,Data missing or out of range,11
27,200301MM00399,Fatal,2003-03-28,2003,Friday,10:38:00,-0.078162,51.501146999999996,2,1,30,Crossroads,Auto traffic signal,Single carriageway,Daylight,Fine no high winds,Dry,Female,21,21 - 25,2,Male,29,26 - 35,Goods 7.5 tonnes mgw and over,Data missing or out of range,Data missing or out of range,-1
