,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
0,Feature,1999317D20830,"3:02pm, 12th February 1999",slight,Cyclist,1,2,52.952084,-0.949869,"[-0.949888, 52.952076]"
1,Feature,1999317D41042,"10:18pm, 16th May 1999",slight,Cyclist,1,2,52.949808,-0.97746,"[-0.977479, 52.949831]"
2,Feature,1999317D41090,"8:53am, 24th May 1999",serious,Cyclist,1,2,52.949808,-0.97746,"[-0.977472, 52.949792]"
3,Feature,1999317D41555,"9:55pm, 31st July 1999",serious,Cyclist,2,2,52.972688,-0.951752,"[-0.951735, 52.972711]"
4,Feature,199932A000309,"5:45pm, 11th January 1999",slight,Cyclist,1,2,52.799358,-0.166644,"[-0.166669, 52.799343]"
5,Feature,199932A000339,"3:45pm, 14th January 1999",serious,"Pedestrian,Cyclist",2,1,52.786434,-0.144943,"[-0.144926, 52.786427]"
6,Feature,199932A000399,"5:15pm, 14th January 1999",slight,Cyclist,1,2,52.978598,-0.02411,"[-0.024119, 52.978587]"
7,Feature,199932A000639,"5:10pm, 28th January 1999",slight,Cyclist,1,2,52.788931,-0.149434,"[-0.149448, 52.78895]"
8,Feature,199932A000649,"10:10am, 28th January 1999",slight,Cyclist,1,2,52.785654,0.121513,"[0.121539, 52.785632]"
9,Feature,199932A000869,"10:45am, 4th February 1999",slight,Cyclist,1,2,52.787494,-0.155279,"[-0.155292, 52.787491]"
10,Feature,199932A001239,"3:15pm, 15th February 1999",slight,Cyclist,1,2,52.989,-0.006352,"[-0.006331, 52.988993]"
11,Feature,199932A001329,"12:20pm, 20th February 1999",slight,Cyclist,1,2,52.795079,-0.134341,"[-0.134366, 52.79507]"
12,Feature,199932A001499,"9:40pm, 26th February 1999",serious,Cyclist,1,2,52.976475,-0.031654,"[-0.031643, 52.976495]"
13,Feature,199932A001569,"8:30pm, 1st March 1999",slight,Cyclist,1,2,52.977345,-0.024465,"[-0.024481, 52.977352]"
14,Feature,199932A001609,"6:30pm, 2nd March 1999",slight,Cyclist,1,2,52.779292,-0.148212,"[-0.148224, 52.779316]"
15,Feature,199932B000429,"6:10pm, 6th January 1999",slight,Cyclist,1,2,52.915468,-0.645124,"[-0.645107, 52.915466]"
16,Feature,199932B001379,"11:10am, 1st February 1999",slight,Cyclist,1,2,52.617846,-0.423891,"[-0.423903, 52.617848]"
17,Feature,199932B001869,"5:28pm, 23rd February 1999",slight,Cyclist,1,2,52.998957,-0.410492,"[-0.410513, 52.998948]"
18,Feature,199932B001909,"5:12pm, 24th February 1999",slight,Cyclist,1,2,52.997983,-0.411571,"[-0.411571, 52.998001]"
19,Feature,199932B002409,"8:21am, 10th March 1999",slight,Cyclist,1,2,52.921809,-0.649388,"[-0.649379, 52.921794]"
20,Feature,199932B002729,"1:20pm, 10th March 1999",slight,Cyclist,1,2,52.922538,-0.650258,"[-0.65026, 52.922555]"
21,Feature,199932B002849,"8:30am, 19th March 1999",slight,Cyclist,1,2,52.785545,-0.162925,"[-0.162912, 52.785536]"
22,Feature,199932B002919,"10:30am, 15th March 1999",serious,Cyclist,1,2,52.996166,-0.410147,"[-0.410162, 52.996169]"
23,Feature,199932B002929,"3:50pm, 17th March 1999",slight,Cyclist,1,2,52.916409,-0.64093,"[-0.640952, 52.916412]"
24,Feature,199932B003039,"8:36am, 25th March 1999",slight,Cyclist,1,2,52.653815,-0.479369,"[-0.479391, 52.653822]"
25,Feature,199932B003119,"10:05am, 24th March 1999",serious,Cyclist,1,2,52.99313,-0.411749,"[-0.411738, 52.993147]"
26,Feature,199932B003329,"3:43pm, 29th March 1999",fatal,Cyclist,1,2,52.787065,-0.156632,"[-0.156655, 52.787065]"
27,Feature,199932B003579,"3:03pm, 3rd April 1999",slight,Cyclist,1,2,52.749572,-0.493964,"[-0.493967, 52.749582]"
