,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
0,Feature,199901CD00116,"5:45am, 7th April 1999",serious,Cyclist,1,2,51.511651,-0.132774,"[-0.132783, 51.511636]"
1,Feature,199901CD00146,"5:30pm, 19th April 1999",slight,Cyclist,1,2,51.512637,-0.132589,"[-0.132601, 51.512619]"
2,Feature,199901CD00175,"3:27pm, 27th May 1999",slight,Cyclist,1,2,51.515034,-0.136238,"[-0.136264, 51.51505]"
3,Feature,199901CD00213,"8:30pm, 25th June 1999",slight,Cyclist,1,2,51.512193,-0.132896,"[-0.1329, 51.512184]"
4,Feature,199901CD00219,"11:35am, 22nd June 1999",slight,Cyclist,1,2,51.513759,-0.135282,"[-0.135278, 51.513781]"
5,Feature,199901CD00249,"2:50am, 10th July 1999",slight,Cyclist,1,2,51.513759,-0.135282,"[-0.135299, 51.513764]"
6,Feature,199901CD00295,"5:00pm, 1st August 1999",slight,Cyclist,1,2,51.513124,-0.129254,"[-0.12924, 51.513147]"
7,Feature,199901CD00308,"9:30am, 17th August 1999",slight,Cyclist,1,2,51.511736,-0.132482,"[-0.132491, 51.511723]"
8,Feature,199901CD00323,"5:45pm, 21st August 1999",slight,Cyclist,1,2,51.514573,-0.129916,"[-0.129931, 51.514585]"
9,Feature,199901CD00329,"10:52am, 8th September 1999",slight,Cyclist,1,2,51.514566,-0.135104,"[-0.135087, 51.51456]"
10,Feature,199901CD00358,"3:24pm, 7th October 1999",slight,Cyclist,1,3,51.512167,-0.131311,"[-0.131338, 51.512185]"
11,Feature,199901CP00007,"9:15am, 21st January 1999",slight,Cyclist,1,2,51.516512,-0.105045,"[-0.105056, 51.516504]"
12,Feature,199901CP00056,"3:20pm, 23rd February 1999",slight,Cyclist,1,2,51.513956,-0.102701,"[-0.10272, 51.513981]"
13,Feature,199901CP00062,"9:38am, 5th February 1999",slight,Cyclist,1,2,51.514164,-0.104422,"[-0.104441, 51.514137]"
14,Feature,199901CP00066,"1:33am, 12th February 1999",slight,Cyclist,1,2,51.517453,-0.096502,"[-0.096504, 51.517462]"
15,Feature,199901CP00070,"4:20pm, 16th February 1999",slight,Cyclist,1,2,51.517047,-0.104735,"[-0.104739, 51.517073]"
16,Feature,199901CP00071,"7:15pm, 18th February 1999",slight,Cyclist,1,2,51.513081,-0.104179,"[-0.104169, 51.513076]"
17,Feature,199901CP00088,"12:40pm, 29th March 1999",slight,Cyclist,1,2,51.515513,-0.098889,"[-0.098875, 51.51551]"
18,Feature,199901CP00092,"7:45am, 4th March 1999",slight,Cyclist,1,2,51.512203,-0.094415,"[-0.09443, 51.512195]"
19,Feature,199901CP00103,"1:00pm, 5th March 1999",serious,Cyclist,1,2,51.514109,-0.106586,"[-0.10661, 51.514121]"
20,Feature,199901CP00104,"4:45pm, 3rd March 1999",slight,Cyclist,1,2,51.513227,-0.113252,"[-0.113253, 51.51325]"
21,Feature,199901CP00122,"6:45pm, 13th April 1999",slight,Cyclist,1,2,51.517647,-0.097359,"[-0.097371, 51.517661]"
22,Feature,199901CP00124,"8:45am, 16th April 1999",slight,Cyclist,1,2,51.518277,-0.102954,"[-0.102935, 51.518296]"
23,Feature,199901CP00128,"1:05pm, 6th April 1999",slight,Cyclist,1,2,51.512535,-0.092672,"[-0.092699, 51.512509]"
24,Feature,199901CP00129,"3:35pm, 6th April 1999",serious,Cyclist,1,2,51.51406,-0.103561,"[-0.103548, 51.51407]"
25,Feature,199901CP00166,"8:55am, 21st May 1999",slight,Cyclist,1,2,51.514526,-0.104551,"[-0.104556, 51.5145]"
26,Feature,199901CP00167,"9:35am, 20th May 1999",slight,Cyclist,1,2,51.51651,-0.104901,"[-0.104909, 51.516488]"
27,Feature,199901CP00171,"1:20pm, 14th May 1999",slight,Cyclist,1,2,51.514132,-0.108026,"[-0.108043, 51.514117]"
28,Feature,199901CP00209,"7:20pm, 3rd June 1999",slight,Cyclist,1,2,51.517595,-0.105288,"[-0.105271, 51.51761]"
29,Feature,199901CP00216,"8:00pm, 2nd June 1999",slight,Cyclist,1,1,51.518142,-0.11132,"[-0.111297, 51.518139]"
30,Feature,199901CP00223,"4:00pm, 15th June 1999",serious,Cyclist,1,2,51.514151,-0.109179,"[-0.109199, 51.514158]"
