,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
0,Feature,199901CP00012,"8:29am, 27th January 1999",slight,Cyclist,1,2,51.510836,-0.093319,"[-0.093317, 51.51085]"
1,Feature,199901CP00014,"10:10am, 19th January 1999",slight,Cyclist,1,2,51.51161,-0.091125,"[-0.091098, 51.511586]"
2,Feature,199901CP00027,"8:00am, 27th January 1999",slight,Cyclist,1,2,51.510731,-0.086838,"[-0.086849, 51.510735]"
3,Feature,199901CP00032,"6:20pm, 29th January 1999",serious,Cyclist,1,2,51.510622,-0.08569,"[-0.085667, 51.510596]"
4,Feature,199901CP00047,"2:53pm, 17th February 1999",slight,Cyclist,1,2,51.51911,-0.087784,"[-0.087796, 51.519109]"
5,Feature,199901CP00049,"1:37pm, 25th February 1999",slight,Cyclist,1,2,51.517338,-0.089444,"[-0.089462, 51.517342]"
6,Feature,199901CP00061,"10:16pm, 4th February 1999",slight,Cyclist,1,2,51.511229,-0.09532,"[-0.095339, 51.511238]"
7,Feature,199901CP00066,"1:33am, 12th February 1999",slight,Cyclist,1,2,51.517453,-0.096502,"[-0.09651, 51.517454]"
8,Feature,199901CP00083,"5:59pm, 10th March 1999",slight,Cyclist,1,2,51.512231,-0.079569,"[-0.07956, 51.512243]"
9,Feature,199901CP00088,"12:40pm, 29th March 1999",slight,Cyclist,1,2,51.515513,-0.098889,"[-0.098901, 51.515504]"
10,Feature,199901CP00092,"7:45am, 4th March 1999",slight,Cyclist,1,2,51.512203,-0.094415,"[-0.094394, 51.512183]"
11,Feature,199901CP00094,"5:10pm, 24th March 1999",slight,Cyclist,1,2,51.517239,-0.088872,"[-0.088849, 51.517228]"
12,Feature,199901CP00122,"6:45pm, 13th April 1999",slight,Cyclist,1,2,51.517647,-0.097359,"[-0.097361, 51.51766]"
13,Feature,199901CP00128,"1:05pm, 6th April 1999",slight,Cyclist,1,2,51.512535,-0.092672,"[-0.092681, 51.512523]"
14,Feature,199901CP00142,"9:30am, 30th March 1999",slight,Cyclist,1,2,51.522814,-0.077827,"[-0.077847, 51.5228]"
15,Feature,199901CP00143,"12:00pm, 17th April 1999",slight,Cyclist,1,2,51.518537,-0.08579,"[-0.085802, 51.51855]"
16,Feature,199901CP00145,"8:50am, 19th April 1999",slight,Cyclist,1,2,51.516043,-0.081715,"[-0.081738, 51.516049]"
17,Feature,199901CP00148,"4:39pm, 23rd April 1999",slight,Cyclist,1,2,51.513191,-0.077799,"[-0.077823, 51.51319]"
18,Feature,199901CP00152,"8:15am, 30th April 1999",serious,Cyclist,1,2,51.520047,-0.079096,"[-0.079101, 51.520069]"
19,Feature,199901CP00154,"9:00am, 27th April 1999",slight,Cyclist,1,2,51.518171,-0.079896,"[-0.079911, 51.518182]"
20,Feature,199901CP00155,"1:10pm, 23rd April 1999",slight,Cyclist,1,2,51.508673,-0.087501,"[-0.087505, 51.508675]"
21,Feature,199901CP00157,"9:50am, 30th April 1999",serious,Cyclist,1,2,51.516643,-0.085437,"[-0.085441, 51.516653]"
22,Feature,199901CP00182,"8:20am, 6th May 1999",slight,Cyclist,1,2,51.509367,-0.08041,"[-0.080386, 51.509351]"
23,Feature,199901CP00195,"5:10pm, 21st May 1999",slight,Cyclist,1,2,51.518169,-0.079752,"[-0.079744, 51.518183]"
24,Feature,199901CP00197,"1:06pm, 28th May 1999",slight,Cyclist,1,2,51.520328,-0.085283,"[-0.085278, 51.520338]"
25,Feature,199901CP00198,"11:45pm, 29th May 1999",slight,Cyclist,1,1,51.509856,-0.088316,"[-0.088327, 51.509838]"
26,Feature,199901CP00213,"8:00am, 11th June 1999",slight,"Pedestrian,Cyclist",2,1,51.510744,-0.093179,"[-0.093189, 51.510752]"
27,Feature,199901CP00227,"8:45am, 29th June 1999",slight,Cyclist,1,2,51.509022,-0.081289,"[-0.081264, 51.509035]"
28,Feature,199901CP00228,"11:33am, 30th June 1999",slight,Cyclist,1,2,51.509022,-0.081289,"[-0.081285, 51.509015]"
29,Feature,199901CP00240,"6:35pm, 10th June 1999",slight,Cyclist,2,2,51.513296,-0.089757,"[-0.089777, 51.513302]"
30,Feature,199901CP00262,"2:43pm, 9th July 1999",slight,Cyclist,1,2,51.512662,-0.094972,"[-0.094957, 51.512647]"
31,Feature,199901CP00267,"5:13pm, 22nd July 1999",slight,Cyclist,1,2,51.512664,-0.095116,"[-0.095125, 51.512661]"
32,Feature,199901CP00269,"6:30pm, 27th July 1999",slight,Cyclist,1,2,51.520982,-0.092319,"[-0.09232, 51.520961]"
33,Feature,199901CP00288,"9:00pm, 9th July 1999",slight,Cyclist,1,2,51.510889,-0.091011,"[-0.091033, 51.51087]"
34,Feature,199901CP00299,"4:10pm, 20th July 1999",slight,Cyclist,1,2,51.516343,-0.083576,"[-0.083561, 51.516343]"
35,Feature,199901CP00307,"8:45am, 7th July 1999",slight,Cyclist,1,2,51.510538,-0.075029,"[-0.075016, 51.510557]"
36,Feature,199901CP00314,"8:50am, 22nd July 1999",slight,Cyclist,1,2,51.516043,-0.081715,"[-0.081723, 51.516053]"
37,Feature,199901CP00324,"7:20pm, 20th July 1999",serious,Cyclist,1,1,51.518308,-0.08825,"[-0.088273, 51.518314]"
38,Feature,199901CP00326,"3:58pm, 5th August 1999",serious,Cyclist,1,2,51.512281,-0.093691,"[-0.093684, 51.512301]"
39,Feature,199901CP00327,"12:35pm, 27th July 1999",slight,Cyclist,1,2,51.512281,-0.093691,"[-0.093706, 51.512279]"
40,Feature,199901CP00342,"6:00am, 2nd August 1999",serious,Cyclist,1,2,51.518541,-0.097033,"[-0.097037, 51.518567]"
41,Feature,199901CP00348,"4:30am, 12th August 1999",slight,Cyclist,1,2,51.518724,-0.086215,"[-0.08622, 51.518707]"
42,Feature,199901CP00352,"10:52am, 11th August 1999",slight,Cyclist,1,2,51.517459,-0.080358,"[-0.080365, 51.517481]"
43,Feature,199901CP00374,"3:10pm, 24th September 1999",slight,Cyclist,1,2,51.512116,-0.094563,"[-0.09455, 51.51211]"
44,Feature,199901CP00377,"6:32pm, 13th September 1999",serious,Cyclist,1,2,51.515757,-0.097293,"[-0.09727, 51.515732]"
45,Feature,199901CP00380,"5:45pm, 21st September 1999",slight,Cyclist,1,2,51.515487,-0.097305,"[-0.097323, 51.515464]"
46,Feature,199901CP00383,"12:15pm, 3rd September 1999",slight,Cyclist,1,2,51.51342,-0.080816,"[-0.080832, 51.513403]"
47,Feature,199901CP00385,"11:45pm, 5th September 1999",slight,Cyclist,1,2,51.509734,-0.075351,"[-0.075346, 51.509723]"
48,Feature,199901CP00387,"12:00pm, 13th September 1999",slight,Cyclist,1,2,51.514838,-0.090558,"[-0.090569, 51.514811]"
49,Feature,199901CP00396,"8:00am, 7th September 1999",serious,Cyclist,1,2,51.515759,-0.080862,"[-0.080874, 51.515741]"
50,Feature,199901CP00399,"7:45am, 7th October 1999",slight,Cyclist,1,1,51.512374,-0.093831,"[-0.09381, 51.512388]"
51,Feature,199901CP00402,"3:14pm, 25th October 1999",slight,Cyclist,1,2,51.510832,-0.093031,"[-0.093042, 51.51085]"
52,Feature,199901CP00424,"4:10pm, 23rd October 1999",slight,Cyclist,1,2,51.513434,-0.081681,"[-0.081689, 51.513422]"
53,Feature,199901CP00500,"8:53am, 14th December 1999",serious,Cyclist,1,2,51.516575,-0.08126,"[-0.081253, 51.516591]"
54,Feature,199901CP00502,"9:17am, 23rd December 1999",slight,Cyclist,1,1,51.513385,-0.084133,"[-0.084155, 51.51336]"
55,Feature,199901CP09008,"8:35pm, 13th October 1999",slight,Cyclist,1,2,51.517552,-0.080499,"[-0.08052, 51.517578]"
56,Feature,199901CP09017,"4:30pm, 10th December 1999",slight,Cyclist,1,2,51.512381,-0.094263,"[-0.094262, 51.512399]"
57,Feature,199901GD00001,"7:35am, 2nd January 1999",slight,Cyclist,1,2,51.52566,-0.086933,"[-0.08695, 51.525647]"
